ik14,Uniprot,E3 ligase,cell_ribes,active,dc50_nM,dmax_pct,ribes_seen,ribes_proba_standard,ribes_major_standard,ribes_proba_target,ribes_major_target
ICSOCJOBEUEOEV,O60885,CRBN,HEK293T,1,30.0,99.0,False,0.7971682,1,0.6438145,1
IDFDLTKSQGRMMG,Q92793,CRBN,RS4;11,1,1.75,93.0,False,0.74973947,1,0.5791607,1
IDVDIZDCUKZAOV,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.526286,1,0.27959952,0
IEFJIESJXZXMBS,Q92918,CRBN,Jurkat,0,245.47,56.6,False,0.45809042,0,0.47204766,0
IESOKNQYZZGWEK,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.49765268,0,0.27776837,0
IFFJMOZOLVHKAT,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.5294001,1,0.28116485,0
IFGRJEDDLDJVFO,P50750,CRBN,MOLM-13,0,400.0,58.6,False,0.45571956,0,0.3734149,0
IFRRBNGUULWZMN,Q92793,CRBN,VCaP,1,1.2999999999999998,92.5,False,0.86537653,1,0.6052466,1
IGVWCTHYJFXSBS,P62942,CRBN,HEK293T,0,428.0,88.0,False,0.4946557,0,0.34740925,0
IHSNQZPLVFVVMX,P10275,CRBN,LNCaP,1,57.0,85.0,False,0.6281758,1,0.5347766,1
IIMIYRHGPQNUTI,Q92793,CRBN,RS4;11,1,1.7999999999999998,97.0,False,0.74467736,1,0.58162373,1
IIODAHZZCZHBBG,P03372,CRBN,MCF-7,0,5.0,62.5,False,0.5029889,1,0.28222454,0
IIOOLBGMXUJQLM,P11802,CRBN,Jurkat,0,70.05000000000001,79.0,False,0.48653135,0,0.35873857,0
IIUMLDLNPGCAPX,Q07889,VHL,NCI-H358,1,15.7,100.0,False,0.7455302,1,0.44854674,0
IJZXNTIKXSHEIV,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.49701262,0,0.27845332,0
ILDJWQYNDNRRFS,O60885,CRBN,MDA-MB-231,0,184.0,86.0,False,0.7268799,1,0.477031,0
ILVRLRGBSSFKIE,Q92793,CRBN,RS4;11,1,1.3,93.0,False,0.74691623,1,0.6118297,1
IMFZXOQNKSCRDL,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.5361827,1,0.2741705,0
INSWPZLUELYCJL,P01116,CRBN,AsPC-1,0,1000.0,25.0,False,0.50349593,1,0.326978,0
IOXZCFBYXCUJFT,P01116,CRBN,AsPC-1,0,250.0,25.0,False,0.4913204,0,0.3399833,0
IRNLRSRPNWJYIM,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.49397123,0,0.27440116,0
IRRDUSVGQNEVTI,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.53372294,1,0.2939812,0
ISEXZTLVHYGCIH,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.47631955,0,0.322258,0
ISJULPZNFXWDMM,P09874,CRBN,HCT 116,0,30.0,71.01,False,0.7452701,1,0.45690238,0
ITBYGVDOJZWBJJ,O60885,CRBN,HEK293T,0,1450.0,69.0,False,0.778646,1,0.64477056,1
ITDXUECDKFMKGU,O60885,CRBN,MDA-MB-231,0,239.0,81.0,False,0.73510486,1,0.47686508,0
ITFVEYMZPFOFJY,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.47385928,0,0.38311633,0
ITPRXUFQAIATQP,P03372,VHL,MCF-7,0,5.0,75.0,False,0.529995,1,0.27836934,0
ITSNPCRTAAEVPC,Q92793,CRBN,RS4;11,0,40.0,58.0,False,0.7564736,1,0.5957661,1
ITSRILWBOAUMKU,P11802,CRBN,Jurkat,1,6.5,98.0,False,0.48924994,0,0.3202528,0
ITZXGDOGIKODRB,Q92918,CRBN,Jurkat,1,29.2,87.0,False,0.45466423,0,0.42073917,0
IVPRENIRIBNJBG,P03372,CRBN,MCF-7,1,0.0277,82.0,False,0.5035922,1,0.2829312,0
IVXQINIZGYXEJQ,P03372,CRBN,MCF-7,0,50.0,50.0,False,0.5418134,1,0.28320548,0
JBXSWHJQZJJXBZ,Q92918,CRBN,Jurkat,0,1751.2,63.6,False,0.45181742,0,0.485449,0
JCHASSLZOGHKHL,P01116,CRBN,AsPC-1,0,1000.0,25.0,False,0.530721,1,0.35609826,0
JDHSDRNQZAVOGP,Q92918,CRBN,Jurkat,0,962.35,63.6,False,0.45624447,0,0.46323714,0
JDYBGBPAMLEXPQ,P03372,CRBN,MCF-7,1,2.0,86.0,False,0.5210882,1,0.27936932,0
JEJOSVAWAGNRAP,P03372,CRBN,MCF-7,0,27.5,62.5,False,0.5271991,1,0.26377085,0
JFSVSFBLGUFRRC,O60885,CRBN,HEK293,1,11.2,99.0,False,0.8003947,1,0.6422006,1
JGLKHXACODUKAA,Q08881,CRBN,Jurkat,1,10.0,85.0,False,0.64664483,1,0.5269447,1
JGXDPWZXCKIGCC,Q92918,CRBN,Jurkat,1,18.7,81.0,False,0.42142537,0,0.42366883,0
JGZZWIGUYGIMSC,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4756811,0,0.3225206,0
JHVZXEQESAUISG,Q06187,CRBN,JeKo-1,1,7.4,90.6,False,0.794581,1,0.67686874,1
JHWDFSXFSRGZNA,P09874,CRBN,HCT 116,0,2210.0,58.8,False,0.73257065,1,0.45406947,0
JIAQFYBZFXKVGG,Q92918,CRBN,Jurkat,0,420.1,84.1,False,0.4606537,0,0.43728697,0
JJAOKTCUPOPPCN,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.5467963,1,0.31476343,0
JJTZDEMRCYDOLS,P50750,CRBN,MDA-MB-231,1,9.39,100.0,False,0.41352525,0,0.27486375,0
JJWLIXJPPKOFQJ,Q92793,CRBN,RS4;11,1,0.2,99.0,False,0.7643559,1,0.60828733,1
JKRQXHCPIBZINH,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4528316,0,0.38545692,0
JLMFQUVPPKMJDH,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.47877064,0,0.31440583,0
JLSDHTOSWKIMIP,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.46833882,0,0.3236712,0
JLTPUUTXJFECDU,P03372,CRBN,MCF-7,1,0.1476,87.0,False,0.50374025,1,0.29060218,0
JNBFRLRAULBTTO,P03372,CRBN,MCF-7,1,0.1675,100.0,False,0.49510026,0,0.28149468,0
JNESGEBHIQTVTD,Q06187,CRBN,Ramos,1,26.87,97.78,False,0.7908582,1,0.6131541,1
JNTVYQDGZFPURZ,P11802,CRBN,Jurkat,0,503.3,68.0,False,0.45469657,0,0.33435044,0
JOAPUHSOSFLPQT,P01116,CRBN,AsPC-1,0,1000.0,25.0,False,0.4885086,0,0.33244798,0
JRGCGYYFOJDXJB,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4265077,0,0.3039591,0
JRMRZEZYXIMMJI,Q9H8M2,CRBN,HEK293,1,10.4,99.0,False,0.4957873,0,0.3805789,0
JSRVLXCZJSLCIE,P03372,CRBN,MCF-7,1,0.0341,100.0,False,0.482309,0,0.28667617,0
JSSQQBFOZFHGQK,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.46896443,0,0.37107375,0
JXHPWXKTNOBJEO,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.43711603,0,0.37238005,0
JYMXBPOHAJNIQZ,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.42079306,0,0.30244645,0
JYTKFPGXQWYDJN,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.48949647,0,0.28416714,0
JZSBEVUPYXMLNW,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.5246968,1,0.27616474,0
KBRMZLCZKKMRCU,P03372,CRBN,MCF-7,1,0.03053,100.0,False,0.5174525,1,0.28187972,0
KCISDTKUQMDSAB,P01116,CRBN,AsPC-1,0,1000.0,25.0,False,0.45625708,0,0.32765123,0
KDCYYVAKGGBCRY,Q08881,CRBN,Jurkat,1,62.2,93.0,False,0.6491,1,0.53307766,1
KDTNFRBAMMZQLW,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.5340414,1,0.27346623,0
KGHDNYQIHSSPRB,Q06187,CRBN,Ramos,1,6.3,80.0,False,0.81440324,1,0.6428203,1
KHIURKSPHCFKCV,P01116,VHL,AsPC-1,1,38.06,98.9,False,0.5345318,1,0.3158627,0
KLYSMYCRNSVSBN,P03372,CRBN,MCF-7,0,50.0,50.0,False,0.48025098,0,0.27108985,0
KMHPNLLKJABVEG,P09874,CRBN,HCT 116,0,19090.0,47.71,False,0.74625355,1,0.47470403,0
KMQQCGMHNQZQAT,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.49810615,0,0.27034053,0
KMRPJSGSHASTCU,Q92793,CRBN,VCaP,0,1000.0,50.0,False,0.8748684,1,0.61302835,1
KMYFHJHTJAUVMF,P62942,CRBN,HEK293T,1,48.0,99.0,False,0.49548373,0,0.33655632,0
KNQONRDAELENAD,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.538858,1,0.292086,0
KNZBNFZCBUUGFF,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.5397052,1,0.29018462,0
KNZQLGYCRUKXQY,Q9BY41,CRBN,Jurkat,1,16.7,88.0,False,0.3464881,0,0.24749212,0
KONIXAAENWXDHK,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.43742514,0,0.303665,0
KQYIIOGMBKKCCZ,P50750,CRBN,MOLM-13,1,60.0,88.3,False,0.43172136,0,0.38118896,0
KRVPZJHWNIRZJA,Q92918,CRBN,Jurkat,0,10000.0,39.4,False,0.45600808,0,0.46670988,0
KVNNMYZARVAXAH,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.50328064,1,0.31779012,0
KWUVPIGIRSXRLS,P03372,CRBN,MCF-7,1,0.01089,99.0,False,0.49795946,0,0.2906321,0
KXPOIDVWNQGMHV,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.48841158,0,0.2619437,0
KXXLNHXQEBCMQC,P01116,CRBN,AsPC-1,0,1000.0,50.0,False,0.50570136,1,0.33503154,0
KYHAJKMOOZHQFA,P01116,VHL,AsPC-1,0,164.4,99.4,False,0.53390294,1,0.32889155,0
LAECKGLWOSIZEO,O60885,CRBN,MDA-MB-231,0,89.9,78.0,False,0.75212073,1,0.48424053,0
LBOQQOZSFDCXGL,P25440,CRBN,MV4-11,0,50.0,68.0,False,0.7729209,1,0.66324383,1
LDBCCXBMENSDJX,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4504011,0,0.39631903,0
LEUWQTQWZRMFBC,Q08881,CRBN,Jurkat,1,5.3,90.0,False,0.6457126,1,0.51546067,1
LFEWLBGYDYYTPV,Q92918,CRBN,Jurkat,0,10000.0,3.4,False,0.4685267,0,0.4438349,0
LFMRXLMXCGNDAP,P10275,CRBN,LNCaP,0,750.0,100.0,False,0.6462812,1,0.58458704,1
LGKKOKNDCIZXCI,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.5065698,1,0.34701347,0
LGXPQFXPRCMMII,P03372,CRBN,MCF-7,1,0.004332,80.0,False,0.48132214,0,0.26965067,0
LHUVKOFLIPGEIS,O60885,CRBN,HEK293,0,11.2,55.0,False,0.8015318,1,0.6511948,1
LJYDOPFRVGCVNV,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.45677266,0,0.32516357,0
LKDUBCUGMNXYHO,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.43972135,0,0.38044068,0
LKXINOXWGXXHRE,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.5345772,1,0.30561137,0
LLALFIRAFOKTLZ,P01116,CRBN,AsPC-1,0,1000.0,25.0,False,0.50094,1,0.3407892,0
LOJMZDCMSCZZAJ,Q08881,CRBN,Jurkat,1,32.7,99.0,False,0.6496546,1,0.52151304,1
LQLPTNNZWVJXTH,P01116,CRBN,AsPC-1,0,1000.0,25.0,False,0.4807935,0,0.33769986,0
LQWQZMSJYZUFKC,P03372,CRBN,MCF-7,0,0.46,63.0,False,0.5262205,1,0.27239606,0
LSIDXOKLOKUYHG,P31749,CRBN,JeKo-1,1,28.0,95.0,False,0.5369419,1,0.52567047,1
LSJSNFCQEAIURY,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4503611,0,0.3691665,0
LSWIANBXHYJRMO,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4874053,0,0.33570912,0
LVBLFGLDAZXTFH,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.47403303,0,0.3174843,0
LVIMBRCFLXHKBA,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.49548677,0,0.27544558,0
LVLGGRYQUFHNRI,Q92918,CRBN,Jurkat,0,175.8,63.0,False,0.39973179,0,0.4483626,0
LVPBHZKWLXQHNZ,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.49115384,0,0.26351967,0
LWTDOZDASMNJOK,O60885,CRBN,HEK293T,0,2500.0,10.0,False,0.7710089,1,0.63740015,1
LWYPNYJEUXMBSL,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4470093,0,0.3240113,0
LXGXWTBAJXFYLG,Q92918,CRBN,Jurkat,1,4.5,99.0,False,0.4668597,0,0.4501407,0
LXLLREDMOVXLOW,Q9H8M2,CRBN,HEK293,1,44.0,99.0,False,0.47994685,0,0.382915,0
LZOALELKGAAMAJ,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.45064464,0,0.3894361,0
LZRIFABWFGIEBB,Q92918,CRBN,Jurkat,0,152.5,64.9,False,0.47104225,0,0.46415344,0
MANMYZQCTDYCCS,Q08881,CRBN,Jurkat,1,29.3,90.0,False,0.6532936,1,0.5258124,1
MATWIHXEJKPGER,P01116,VHL,AsPC-1,0,1204.0,89.7,False,0.5218281,1,0.3110741,0
MBDWZXCEYCOJBR,P01116,CRBN,AsPC-1,0,100.0,50.0,False,0.44727325,0,0.31431592,0
MDAOEBYSZBCXNE,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.5269058,1,0.28308383,0
MDGIUACWARAFPO,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4361062,0,0.30947873,0
MGCQUHFNXHFJQG,P09874,CRBN,HCT 116,0,230.0,65.07,False,0.73042804,1,0.46200892,0
MHDMODTXRYQRFP,O60885,CRBN,HEK293T,1,37.0,97.0,False,0.7901831,1,0.6464286,1
MIVYMDRKVBLXBB,O60885,CRBN,HEK293T,1,7.0,99.0,False,0.77561086,1,0.6433123,1
MKEPVVNHRYBPIL,P62942,CRBN,HEK293T,1,71.0,95.0,False,0.47915816,0,0.3502303,0
MKKJFNRNDUNJRJ,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.49439868,0,0.28729978,0
MMBLDFRSCIREAD,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.44355452,0,0.39122128,0
MQKYUGINEQYSTG,Q06187,CRBN,Ramos,0,10000.0,20.0,False,0.8067414,1,0.613479,1
MRSVWDNVFGFAMR,P03372,CRBN,MCF-7,0,50.0,50.0,False,0.48553395,0,0.27738068,0
MRWQDJXZCHOLFL,P03372,CRBN,MCF-7,0,0.04062,79.0,False,0.5233734,1,0.29447678,0
MVDQDTKGGYOLOX,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4283543,0,0.29789877,0
MWQUPRSQYJGFTN,P03372,CRBN,MCF-7,1,0.1103,95.0,False,0.48232093,0,0.29408422,0
MWSMACAEJGKVET,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.44387197,0,0.3226335,0
MWVNDEBEHBRZEC,P11802,VHL,Calu-1,0,10000.0,50.0,False,0.77359056,1,0.29542252,0
MXOOOCRGAZEHDK,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.42469046,0,0.30167973,0
MXUXZEYSMBBOFM,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.53178203,1,0.27715358,0
MYKZGDSGPTZTPG,Q06187,CRBN,Ramos,1,0.6,94.0,False,0.8082383,1,0.6186549,1
MYMIVXJTHZGTEC,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.49290296,0,0.27283934,0
MYMXYDSTYJHREL,Q92793,CRBN,RS4;11,1,1.2,98.0,False,0.77242225,1,0.5955649,1
MZOWIXBWDNSXQH,Q06187,CRBN,JeKo-1,1,10.1,90.1,False,0.7950533,1,0.67640686,1
NAAXSZGRYKDACY,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4424323,0,0.303311,0
NAKXOWLYMFDDNT,O60885,CRBN,HEK293T,0,2500.0,5.0,False,0.77698165,1,0.65120625,1
NCMKTMLIGFFAEK,P03372,CRBN,MCF-7,1,0.01426,99.0,False,0.51999086,1,0.288254,0
NCSCYFMOOULWQC,P10275,CRBN,LNCaP,0,240.5,100.0,False,0.6540352,1,0.57734597,1
NCYQVXBQCGPHHH,P10275,CRBN,VCaP,1,9.7,89.0,False,0.7836497,1,0.56620616,1
NCYUPQGVJKSVOY,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.52036554,1,0.28569558,0
NDAXYDIPJNSMDV,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.4934624,0,0.27577806,0
NEEJYMLVIVQXPL,Q92918,CRBN,Jurkat,0,10000.0,0.1,False,0.46720108,0,0.42873558,0
NEYSWTYJNWOFFS,Q92918,CRBN,Jurkat,0,10000.0,2.8,False,0.4616638,0,0.45532298,0
NFRUWYPJXRXEPI,P10275,CRBN,LNCaP,1,58.0,89.0,False,0.62477845,1,0.5260343,1
NGPPFHHXYKYDIP,Q92918,CRBN,Jurkat,0,10000.0,37.9,False,0.4698409,0,0.44653246,0
NHHRMBVTHWIWGZ,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.4875115,0,0.27020642,0
NHLHDLZOSBADFR,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.48790297,0,0.2764554,0
NILPBQXGPCUEHH,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.51759857,1,0.27842182,0
NIPYTICJQBGJAI,Q92793,CRBN,VCaP,1,0.1,95.0,False,0.86680007,1,0.6482908,1
NJHOIYBUDVLYAV,P11802,CRBN,Jurkat,1,6.8500000000000005,80.5,False,0.4789144,0,0.3326732,0
NJTGZPZPCHOJOW,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.4969248,0,0.27981237,0
NJVSAVJXGPJLDE,Q92793,CRBN,22Rv1,0,21.75,51.0,False,0.70352775,1,0.5199411,1
NKGQYMCHGPQXJX,P01116,CRBN,AsPC-1,0,100.0,50.0,False,0.45887318,0,0.3281785,0
NLYQMKQDTHQZNA,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.43565667,0,0.29795048,0
NMRMXUQBFDOAQE,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.49739885,0,0.2738972,0
NQJHWPLBMRAMKZ,P10275,CRBN,LNCaP,0,152.0,70.0,False,0.64091015,1,0.53549963,1
NQZCBDOOYGTFSB,Q92918,CRBN,Jurkat,1,8.8,94.0,False,0.4248028,0,0.43284145,0
NRQMHOGVAHDTNW,P11802,CRBN,Jurkat,0,85.7,75.5,False,0.48151794,0,0.31917867,0
NSWZQYGDWCUSDT,P36888,CRBN,MV4-11,1,0.98,85.0,False,0.5532978,1,0.41274557,0
NTQJGRSBLNKGCI,P03372,CRBN,MCF-7,1,0.3366,99.0,False,0.49521807,0,0.30773,0
NTVMEUBMJYIENK,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.51895386,1,0.28205645,0
NVHSNLNBJJUEKA,Q92918,CRBN,Jurkat,0,10000.0,24.2,False,0.45127463,0,0.4904282,0
NWWWDNZGRPDSDL,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.5042527,1,0.2791009,0
NXGWHYURBOETHV,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4437836,0,0.38355646,0
NXLULRXSAHUXOB,P09874,CRBN,HCT 116,0,20000.0,37.38,False,0.7428286,1,0.4540535,0
NZSZKOBISRPHGJ,P09874,CRBN,HCT 116,0,20000.0,49.13,False,0.7534875,1,0.45465222,0
OAIBMPRSTYMFMF,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.49157336,0,0.3094239,0
OATWWBXLNLYERD,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4199617,0,0.30210593,0
OCJIBLJOIYJPJB,Q92918,CRBN,Jurkat,1,52.3,87.0,False,0.42509523,0,0.46243763,0
OCRZEXONTRGXJJ,P25440,CRBN,MV4-11,1,0.5,98.0,False,0.7912443,1,0.59147525,1
ODACRUNFSNEWFN,P11802,CRBN,MDA-MB-231,0,7250.0,86.0,False,0.51946115,1,0.28826717,0
ODHSIRLCFHBSLV,P01116,CRBN,AsPC-1,0,1000.0,25.0,False,0.48644128,0,0.3490686,0
OEIXGQBXJRCKDG,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.5385758,1,0.292258,0
OERSBDGKBSIAJF,Q9H8M2,CRBN,HEK293,0,316.0,90.0,False,0.48268056,0,0.38746288,0
OFPHWAPEMHBKER,P03372,CRBN,MCF-7,1,0.242,100.0,False,0.53304535,1,0.2775745,0
OFTNTQSCIASIHA,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.5282448,1,0.29054362,0
OGJBCMCUTMQDMB,P03372,CRBN,MCF-7,0,5.0,62.5,False,0.4908738,0,0.27692607,0
OGNHAQXAAGMVOV,Q92793,CRBN,RS4;11,1,0.15,99.0,False,0.7385803,1,0.58915997,1
OHGZHFFSUIAVDY,Q9BY41,CRBN,MDA-MB-231,1,71.5,81.0,False,0.32094547,0,0.22225678,0
OHIMCHRTVXJRBB,P03372,CRBN,MCF-7,1,3.8,95.0,False,0.4965347,0,0.27987757,0
OIAWLANZAYGDNS,P03372,CRBN,MCF-7,1,2.2,82.0,False,0.4943495,0,0.27634344,0
OINUZLXAXNXVIL,P50750,CRBN,MDA-MB-231,1,9.4,92.0,False,0.42361355,0,0.28288868,0
OJBZGRZGVKAUHH,O60885,CRBN,HEK293,1,1.8,97.0,False,0.794638,1,0.64559317,1
OJCRNHCUTYXXFI,P25440,CRBN,MV4-11,1,0.3,99.0,False,0.8036925,1,0.62663734,1
OJCYPKZNPSJLGY,P61964,VHL,MIA PaCa-2,0,92.0,73.0,False,0.7530091,1,0.4123088,0
OJXFDZCWWVPDCJ,P03372,CRBN,MCF-7,1,0.03616,100.0,False,0.4842961,0,0.2878789,0
OKISKGIPUPRZPL,O60885,CRBN,HEK293,1,0.7,92.0,False,0.7939334,1,0.6468304,1
OKRRHPIDAMUVAH,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.48990735,0,0.2745386,0
OLQGJEKFCQYJGY,P01116,CRBN,AsPC-1,0,625.0,37.5,False,0.49930516,0,0.34526744,0
OMWIEQMSNUNYBD,Q92918,CRBN,Jurkat,0,1.2,77.0,False,0.41219592,0,0.453936,0
ORODRCQOJBOESI,P01116,CRBN,AsPC-1,0,1000.0,25.0,False,0.4917525,0,0.32751492,0
ORQXPOXNHTUDRV,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.5244327,1,0.28614998,0
ORVYEANVNNIAHS,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4383051,0,0.302762,0
OTSHWHJFGTVNLE,Q92793,CRBN,VCaP,1,0.8500000000000001,95.0,False,0.8551636,1,0.61949325,1
OTSSTAHPCHKQON,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.42534387,0,0.30649534,0
OTXXCMPBTUDXFD,P01116,CRBN,AsPC-1,0,1000.0,25.0,False,0.5018068,1,0.33337268,0
OTYHKDKIGWZRJK,P01116,CRBN,AsPC-1,0,250.0,25.0,False,0.50068253,1,0.32996762,0
OUDYLACOAFCTIP,P01116,CRBN,AsPC-1,0,1000.0,25.0,False,0.45112467,0,0.31114718,0
OUNSSLRXSNJYSI,P01116,CRBN,AsPC-1,0,100.0,50.0,False,0.4451007,0,0.31882474,0
OVACPFPSPXWFLM,P03372,CRBN,MCF-7,1,0.1563,81.0,False,0.5258941,1,0.28967056,0
OVGJMQWPRUXZPK,Q9BY41,CRBN,MDA-MB-231,0,932.5,77.0,False,0.33254215,0,0.22388013,0
OVOIYEZHVNDSLA,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.47168025,0,0.31243363,0
OVVOKNDEXPUPTI,P09874,CRBN,HCT 116,0,20000.0,35.64,False,0.71450806,1,0.45535073,0
OVWXKQZGDSFJOC,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.50027114,1,0.2781035,0
OXFQPPOCQDYRAV,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.44976225,0,0.322619,0
OXMDHNVNCICBMC,P03372,CRBN,MCF-7,1,0.02906,100.0,False,0.50020283,1,0.2868999,0
OXSROSNYZRSDCK,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4467542,0,0.30419198,0
PAWOGRZAWHCVSV,P01116,CRBN,AsPC-1,0,1000.0,50.0,False,0.4586078,0,0.31825924,0
PBTGIUQPZXMJTR,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.5419679,1,0.2820206,0
PDVZCOAUEHSQQC,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.53121084,1,0.27074036,0
PEAGECFNJYDLLW,Q92793,CRBN,VCaP,1,0.75,95.0,False,0.87042046,1,0.6268682,1
PFCHJOXUKMTDHP,Q9H8M2,CRBN,MV4-11,1,1.02,99.15,False,0.5608,1,0.3442398,0
PGHMFOZLKKQWSX,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.49886164,0,0.2813972,0
PHIUSMLTSNYPMF,P01116,CRBN,AsPC-1,0,1000.0,50.0,False,0.43471375,0,0.36622384,0
PIYZBTHQTSAJKU,Q9H8M2,CRBN,HEK293,0,142.0,98.0,False,0.47842875,0,0.38420594,0
PJHVSTSZQYMHGP,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.50334543,1,0.33046904,0
PJLUKTVSGYDGFZ,P11802,CRBN,Jurkat,0,6.0,61.5,False,0.46999124,0,0.33473435,0
PLVCAPPHMNXCHP,O60885,CRBN,MDA-MB-231,1,62.0,86.0,False,0.7388415,1,0.46868864,0
PMBMQOVLVVBPTC,P03372,CRBN,MCF-7,1,0.01,80.0,False,0.5020325,1,0.27712157,0
PMDIVNUEOYATPM,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.49717364,0,0.35065153,0
PNWGYQMPMUBHKY,P01116,CRBN,AsPC-1,0,175.0,25.0,False,0.4615396,0,0.31701508,0
POXZOWOTXHTNSH,P01116,CRBN,AsPC-1,0,1000.0,50.0,False,0.50381607,1,0.3341781,0
POZBIGMNEGXRFC,Q08881,CRBN,Jurkat,1,15.6,97.0,False,0.6552326,1,0.5667832,1
PPPZVVWSEZFVBZ,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.52943474,1,0.28282514,0
PPUSAEJBRXVVKZ,P01116,CRBN,AsPC-1,0,1000.0,25.0,False,0.49352512,0,0.3342801,0
PQQGCNZLBIIDDI,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.49563146,0,0.2737482,0
PQRCPBJSMMSCBI,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.47332016,0,0.3333987,0
PUTPSSPEPURXTK,P10275,CRBN,VCaP,0,3000.0,76.0,False,0.77585953,1,0.56507856,1
PUVDCJWCLMFLHZ,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4400151,0,0.3072699,0
PWBNVQLKNYZDJQ,Q9H8M2,CRBN,HEK293,0,200.0,65.0,False,0.478987,0,0.3695253,0
PWNYKQCRIFCRCD,P10275,CRBN,LNCaP,0,96.0,79.5,False,0.63372684,1,0.5383181,1
PWVHWGSXBYTNNZ,P10636,CRBN,HEK293T,0,2830.0,69.5,False,0.60284525,1,0.5967508,1
